| OpId                                |   # |  CPU   |  CUDA  |  ROCm  | Vulkan | OneAPI |
|-------------------------------------|-----|--------|--------|--------|--------|--------|
| Add                                 |   0 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Sub                                 |   1 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Mul                                 |   2 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Div                                 |   3 |   Y    |   Y    |   Y    |   Y    |   Y    |
| MatMul                              |   4 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Bmm                                 |   5 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Dot                                 |   6 |   Y    |   Y    |   Y    |   Y    |   Y    |
| AddInplace                          |   7 |   Y    |   Y    |   Y    |   Y    |   Y    |
| SubInplace                          |   8 |   Y    |   Y    |   Y    |   Y    |   Y    |
| MulInplace                          |   9 |   Y    |   Y    |   Y    |   Y    |   Y    |
| DivInplace                          |  10 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Sum                                 |  11 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Mean                                |  12 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Max                                 |  13 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Min                                 |  14 |   Y    |   Y    |   Y    |   Y    |   Y    |
| ArgMax                              |  15 |   Y    |   Y    |   Y    |   Y    |   Y    |
| ArgMin                              |  16 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Prod                                |  17 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Var                                 |  18 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Std                                 |  19 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Norm                                |  20 |   Y    |   Y    |   Y    |   Y    |   Y    |
| ArgSort                             |  21 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Any                                 |  22 |   Y    |   Y    |   Y    |   Y    |   Y    |
| All                                 |  23 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Median                              |  24 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Mode                                |  25 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Sqrt                                |  30 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Neg                                 |  31 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Abs                                 |  32 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Sign                                |  33 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Log                                 |  34 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Exp                                 |  35 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Pow                                 |  36 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Clamp                               |  37 |   Y    |   Y    |   Y    |   Y    |   Y    |
| ClampMin                            |  38 |   Y    |   Y    |   Y    |   Y    |   Y    |
| ClampMax                            |  39 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Reciprocal                          |  40 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Floor                               |  41 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Ceil                                |  42 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Round                               |  43 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Trunc                               |  44 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Sin                                 |  50 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Cos                                 |  51 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Tan                                 |  52 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Asin                                |  53 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Acos                                |  54 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Atan                                |  55 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Sinh                                |  56 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Cosh                                |  57 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Tanh                                |  58 |   Y    |   Y    |   Y    |   Y    |   Y    |
| ReLU                                |  65 |   Y    |   Y    |   Y    |   Y    |   Y    |
| ReLUBackward                        |  66 |   Y    |   Y    |   Y    |   Y    |   Y    |
| Sigmoid                             |  67 |   Y    |   Y    |   Y    |   Y    |   Y    |
| SigmoidBackward                     |  68 |   Y    |   Y    |   Y    |   Y    |   Y    |
| TanhActivation                      |  69 |   Y    |   Y    |   Y    |   Y    |   Y    |
| TanhBackward                        |  70 |   Y    |   Y    |   Y    |   Y    |   Y    |
